"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Leptospirosis","Confirmed cases","Reported cases","N","2007","AT","Austria",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","BE","Belgium",8.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","BG","Bulgaria",16.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","CZ","Czechia",24.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","DE","Germany",165.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","DK","Denmark",8.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","EE","Estonia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","EL","Greece",13.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","ES","Spain",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","EU27_21","EU (without UK)",760.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","EU27_UK_21","EU (with UK until 2019)",841.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","EUEEA30_21","EU/EEA (without UK)",760.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","EUEEAUK_21","EU/EEA (with UK until 2019)",841.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","FI","Finland",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","HU","Hungary",31.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","IE","Ireland",22.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","IT","Italy",45.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","LT","Lithuania",6.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","LV","Latvia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","MT","Malta",1.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","NL","Netherlands",37.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","PL","Poland",7.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","PT","Portugal",38.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","RO","Romania",296.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","SE","Sweden",1.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","SI","Slovenia",7.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","SK","Slovakia",17.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2007","UK","United Kingdom",81.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","AT","Austria",11.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","BE","Belgium",5.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","BG","Bulgaria",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","CZ","Czechia",17.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","DE","Germany",66.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","DK","Denmark",8.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EE","Estonia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EL","Greece",12.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","ES","Spain",5.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EU27_21","EU (without UK)",523.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EU27_UK_21","EU (with UK until 2019)",599.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EUEEA30_21","EU/EEA (without UK)",523.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","EUEEAUK_21","EU/EEA (with UK until 2019)",599.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","FI","Finland",8.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","HU","Hungary",15.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","IE","Ireland",29.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","IT","Italy",40.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","LT","Lithuania",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","LV","Latvia",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","MT","Malta",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","NL","Netherlands",37.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","PL","Poland",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","PT","Portugal",15.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","RO","Romania",200.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","SE","Sweden",6.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","SI","Slovenia",6.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","SK","Slovakia",23.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2008","UK","United Kingdom",76.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","AT","Austria",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","BE","Belgium",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","BG","Bulgaria",11.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","CY","Cyprus",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","CZ","Czechia",32.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","DE","Germany",92.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","DK","Denmark",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","EE","Estonia",1.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","EL","Greece",31.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","ES","Spain",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","EU27_21","EU (without UK)",495.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","EU27_UK_21","EU (with UK until 2019)",548.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","EUEEA30_21","EU/EEA (without UK)",495.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",548.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","FI","Finland",12.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","HU","Hungary",9.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","IE","Ireland",25.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","IT","Italy",38.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","LT","Lithuania",5.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","LU","Luxembourg",0.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","LV","Latvia",5.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","MT","Malta",3.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","NL","Netherlands",25.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","PL","Poland",4.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","PT","Portugal",32.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","RO","Romania",128.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","SE","Sweden",4.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","SI","Slovenia",2.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","SK","Slovakia",16.000000000,""
"Leptospirosis","Confirmed cases","Reported cases","N","2009","UK","United Kingdom",53.000000000,""
